model,input_length,budget128_ttft,budget128_tpot,budget128_latency,budget256_ttft,budget256_tpot,budget256_latency,budget384_ttft,budget384_tpot,budget384_latency,budget512_ttft,budget512_tpot,budget512_latency,budget1024_ttft,budget1024_tpot,budget1024_latency,budget4096_ttft,budget4096_tpot,budget4096_latency,budget16384_ttft,budget16384_tpot,budget16384_latency,budget102400_ttft,budget102400_tpot,budget102400_latency
Llama,4096,0.30,16.79,0.82,0.30,21.53,0.96,,,,0.30,16.96,0.82,0.30,17.64,0.84,,,,,,,0.30,14.76,0.75
Llama,8192,,,,,,,,,,,,,0.70,17.03,1.23,,,,,,,,,
Llama,16384,,,,,,,,,,,,,1.44,18.68,2.02,,,,,,,,,
Llama,32768,,,,,,,,,,,,,3.38,17.61,3.93,,,,,,,,,
Llama,65536,10.55,20.83,11.19,,,,10.55,20.92,11.20,,,,10.55,20.98,11.20,10.56,21.08,11.22,10.61,22.27,11.30,,,
Qwen,4096,0.28,17.26,0.81,0.28,20.42,0.91,,,,0.28,17.41,0.82,0.28,17.42,0.82,,,,,,,0.28,15.14,0.75
Qwen,8192,,,,,,,,,,,,,0.68,21.00,1.33,,,,,,,,,
Qwen,16384,,,,,,,,,,,,,1.25,21.33,1.92,,,,,,,,,
Qwen,32768,,,,,,,,,,,,,3.12,17.45,3.66,,,,,,,,,
Qwen,65536,9.05,20.52,9.69,,,,9.07,19.64,9.68,,,,9.10,19.76,9.71,8.85,25.41,9.64,8.78,22.46,9.47,,,
